 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"130130 Codajás";36928,60;19820,89;28173,06;27984,64;-;32984,73;32494,55;28018,10;36327,29;36867,85;28431,94;-;66621,89;27998,33;33480,91;33141,52;42330,90;26012,10;30642,58;64947,00;633206,88
"130140 Eirunepé";19753,98;61115,28;53387,21;61264,71;51385,17;72861,46;76379,38;78926,33;81522,27;77109,35;56837,09;76901,57;62598,41;56598,95;70067,58;-;50013,44;-;-;67683,20;1074405,38
"130150 Envira";103966,79;29089,99;31583,21;23352,18;38594,80;34210,62;36910,92;35151,98;-;62615,66;24146,40;29339,03;19088,32;-;52576,00;22967,79;26326,97;11073,81;28758,37;19550,73;629303,57
"130160 Fonte Boa";28339,78;34142,91;47113,77;37556,12;49135,43;53899,79;49391,12;33277,47;36603,80;35106,34;46152,55;40110,15;41486,60;44559,31;41740,44;36295,66;63457,47;-;-;-;718368,71
"130165 Guajará";13797,53;-;-;-;13800,59;24249,27;-;18328,44;8172,26;13745,71;10797,60;21659,15;23999,39;14233,71;-;6420,17;6100,71;23884,15;53447,04;31270,91;283906,63
"130170 Humaitá";67041,43;69729,94;89220,61;89733,79;84120,60;77260,01;66072,86;77589,53;73683,07;70694,93;67027,04;74345,57;111150,74;81461,13;72691,66;52804,90;67934,46;132346,11;188861,03;142097,73;1755867,14
"130180 Ipixuna";30230,00;26845,23;16144,07;28614,34;35460,95;30254,73;21774,56;-;57876,66;23429,29;30305,90;31515,12;21714,82;-;25291,86;25334,34;-;50570,94;-;-;455362,81
"130185 Iranduba";19734,76;10404,73;11661,52;4510,16;7093,75;26690,42;27630,78;33418,37;44420,28;43493,16;5363,85;20524,52;60888,79;24962,78;30337,35;36624,84;15322,46;11389,54;4716,48;-;439188,54
"130190 Itacoatiara";215453,67;185126,22;242521,68;219969,52;210200,35;194429,58;199316,79;219784,54;212278,26;214044,25;210821,39;83662,80;199820,46;187533,51;159766,06;177368,98;352911,30;278631,53;275127,60;-;4038768,49
"130200 Itapiranga";-;-;-;-;-;-;-;13259,92;12839,49;11831,04;8585,75;5639,79;7153,61;11648,16;1777,60;16438,02;5756,14;4408,92;5297,72;18268,67;122904,83
"130210 Japurá";5045,59;5746,83;3035,00;4148,48;7872,17;2849,41;6875,06;7351,05;11029,36;5884,06;5784,48;6555,91;-;8439,43;12550,25;-;-;32777,28;-;13547,17;139491,53
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;36120,81;-;22069,81;-;-;-;58190,62
"130230 Jutaí";-;1590,70;-;-;1195,93;-;40137,37;-;67949,22;42723,83;37533,00;33250,75;-;-;63579,03;-;-;-;51078,43;25015,03;364053,29
"130240 Lábrea";43955,90;22204,51;-;30707,78;31533,49;38025,23;38852,23;48474,53;46721,48;48080,46;50821,60;42569,62;55274,82;30763,14;81276,79;51955,66;46509,85;40444,69;-;-;748171,78
"130250 Manacapuru";205909,19;203274,73;188915,03;182213,62;271542,77;204701,78;211617,89;238477,74;235012,96;229879,73;206476,26;271086,32;271341,63;278222,44;178453,08;196554,02;266622,55;233186,09;251714,35;-;4325202,18
"130255 Manaquiri";2288,37;7633,41;-;15296,28;11174,46;12031,23;8316,40;10959,57;8425,82;11186,08;8391,00;6729,37;12637,64;10972,66;10081,94;11461,25;17769,33;18303,60;17490,44;16475,38;217624,23
"130260 Manaus";14199968,38;12022728,12;13856526,49;13022010,44;13757910,13;12809071,82;13273364,78;13134417,06;13643043,98;12809831,57;13030250,00;11837298,06;13346938,20;12506362,83;12377020,30;11352570,81;16587141,89;17718357,01;16466598,42;12832815,02;270584225,31
"130270 Manicoré";66666,21;76130,98;72732,56;67997,19;68883,02;74864,97;66583,01;59418,05;72436,45;73838,74;79056,95;73501,24;73003,96;69073,67;72659,69;85638,17;66685,34;73663,05;81189,92;-;1374023,17
"130280 Maraã";37243,92;32269,39;-;-;38072,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107586,07
"130290 Maués";118757,20;121914,42;103777,88;140252,89;109953,25;138208,42;123657,91;118152,30;136230,55;148245,85;137630,19;125004,73;113613,48;108568,73;137619,33;113350,21;132968,73;138773,76;117698,42;142436,57;2526814,82
"130300 Nhamundá";18506,47;14007,44;21797,68;22033,11;23089,25;27386,73;24840,04;25490,37;26572,08;16123,08;26351,26;25257,18;34286,12;13138,56;17356,23;199,33;-;13349,44;2123,84;83894,34;435802,55
"130310 Nova Olinda do Norte";62362,27;44074,38;62679,36;51130,44;61770,48;55293,07;62383,37;55288,86;53231,76;53761,16;53219,42;60231,17;40907,86;37526,19;39027,24;64451,51;39900,33;-;-;-;897238,87
"130320 Novo Airão";8665,35;18569,77;15938,45;17443,59;9087,37;18967,19;38224,98;25169,46;15562,54;36233,59;22201,44;20145,01;19968,11;12501,15;14974,20;16569,32;36999,91;29987,27;34469,27;33168,98;444846,95
"130330 Novo Aripuanã";5766,18;-;-;-;9645,01;-;23992,95;-;13166,46;10454,84;11856,89;-;28815,63;-;19590,95;12063,52;-;36246,34;-;-;171598,77
"130340 Parintins";266713,12;229075,43;206260,92;239571,13;215670,35;225359,58;205701,00;240224,43;244848,82;252623,12;270825,92;232259,09;224527,70;250738,67;249104,88;198958,34;215952,30;381170,05;395372,56;375388,19;5120345,60
"130350 Pauini";3929,39;-;18834,15;-;39098,75;19052,47;21583,79;-;37000,56;-;-;39252,19;33663,84;17893,31;21167,71;-;-;39362,73;-;-;290838,89
"130353 Presidente Figueiredo";41135,28;30526,95;28180,64;33876,22;51715,69;34126,58;30736,59;42404,81;31996,63;33239,57;45402,39;18335,78;39379,87;28396,85;34056,46;26577,16;62820,63;36940,09;43146,77;-;692994,96
"130356 Rio Preto da Eva";11986,34;8789,46;12046,70;16917,27;18819,18;20273,89;18748,29;10793,61;32345,72;15039,92;11919,47;16884,29;10512,77;10097,93;8097,42;6420,22;17627,20;11613,97;21423,40;45269,19;325626,24
"130360 Santa Isabel do Rio Negro";17308,22;17552,96;8792,33;17731,83;18270,28;8318,49;21247,67;10528,36;14372,56;11951,15;10667,60;14812,23;-;37568,11;-;35797,32;-;-;-;12299,28;257218,39
"130370 Santo Antônio do Içá";73904,53;49449,44;39221,46;44674,73;45131,42;46903,36;45390,17;44224,93;-;93428,88;46572,02;45445,61;43745,27;41469,23;44464,63;43062,64;42282,41;79664,80;53701,28;55071,12;977807,93
"130380 São Gabriel da Cachoeira";2472,54;39806,83;11621,71;9221,74;9429,02;5550,08;7460,56;88574,70;41612,56;11240,94;53964,82;51355,29;4173,99;4073,33;9186,29;11302,21;3793,93;64225,28;-;-;429065,82
"130390 São Paulo de Olivença";42962,98;33637,47;40660,31;49679,43;43132,61;55644,30;55892,50;45415,23;45005,16;47654,42;48953,99;33544,16;2481,39;46099,19;14362,08;18834,33;55505,68;47316,34;58938,41;-;785719,98
"130395 São Sebastião do Uatumã";12779,52;3304,86;-;21310,90;-;16338,31;8896,11;-;12188,37;8047,81;-;18316,91;14564,94;-;20582,36;5966,09;21161,17;-;34632,63;22799,32;220889,30
"130400 Silves";-;15483,31;14631,30;8124,96;12199,04;12118,16;10755,39;12939,88;6631,74;8029,64;8559,95;-;20094,00;-;-;-;-;-;-;-;129567,37
"130406 Tabatinga";169285,34;93759,27;107951,58;119917,78;124417,85;90994,20;103118,12;81392,77;99837,48;102476,59;103920,06;85694,75;80590,84;53710,38;136527,05;94801,95;209224,59;89896,78;48007,95;67228,64;2062753,97
"130420 Tefé";150596,15;160583,10;154740,53;178633,65;155715,15;155400,33;162889,08;146614,93;168049,08;161029,63;162238,66;167617,44;149300,18;131571,84;142660,09;148033,63;131733,94;288853,60;270550,64;-;3186811,65
"130423 Tonantins";-;-;-;-;18197,73;3999,60;-;3710,39;-;44480,15;23000,98;22048,04;24353,12;22261,07;25157,39;18275,62;41557,43;52869,11;29782,05;33145,43;362838,11
"130426 Uarini";30918,64;22256,27;27745,85;27367,15;40946,70;35679,44;35820,51;30763,30;48776,06;56002,12;54554,31;51419,58;44165,04;38863,16;35612,18;38808,61;37520,93;70863,86;52030,62;24300,29;804414,62
